scenario_id,phase,arm,replicate,n_orders,hold_n,move_n,support_n,reasoning_len,order_set
s01,opening,yarrow,6,2,1,0,1,1475,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,yarrow,7,2,1,0,1,1645,luoyang|hold|||;shangdang|support|zheng|chu|hold
s02,opening,control,0,2,0,1,1,958,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,control,1,2,0,1,1,1129,hanzhong|move|zheng||;shangdang|support|zheng|han|move
s02,opening,control,2,2,0,1,1,942,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,control,3,2,1,0,1,955,hanzhong|hold|||;shangdang|support|henei|wei|hold
s02,opening,control,4,2,0,1,1,1001,hanzhong|move|zheng||;shangdang|support|zheng|han|move
s02,opening,control,5,2,0,1,1,878,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,control,6,2,0,1,1,1237,hanzhong|move|zheng||;shangdang|support|zheng|han|move
s02,opening,control,7,2,2,0,0,1113,hanzhong|hold|||;shangdang|hold|||
s02,opening,tarot,0,2,1,0,1,1633,hanzhong|hold|||;shangdang|support|henei|wei|hold
s02,opening,tarot,1,2,2,0,0,1267,hanzhong|hold|||;shangdang|hold|||
s02,opening,tarot,2,2,0,1,1,1156,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,tarot,3,2,1,0,1,1698,hanzhong|hold|||;shangdang|support|henei|wei|hold
s02,opening,tarot,4,2,0,1,1,1628,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,tarot,5,2,1,0,1,1532,hanzhong|hold|||;shangdang|support|henei|wei|hold
s02,opening,tarot,6,2,2,0,0,745,hanzhong|hold|||;shangdang|hold|||
s02,opening,tarot,7,2,1,0,1,1233,hanzhong|hold|||;shangdang|support|henei|wei|hold
s02,opening,yarrow,0,2,0,1,1,1777,hanzhong|move|zheng||;shangdang|support|zheng|han|move
s02,opening,yarrow,1,2,1,0,1,1217,hanzhong|hold|||;shangdang|support|henei|wei|hold
s02,opening,yarrow,2,2,0,1,1,1214,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,yarrow,3,2,0,1,1,1566,hanzhong|move|zheng||;shangdang|support|zheng|han|move
s02,opening,yarrow,4,2,0,1,1,1595,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,yarrow,5,2,0,1,1,1445,hanzhong|support|zheng|han|move;shangdang|move|zheng||
s02,opening,yarrow,6,2,2,0,0,1892,hanzhong|hold|||;shangdang|hold|||
s02,opening,yarrow,7,2,0,1,1,1360,hanzhong|move|zheng||;shangdang|support|zheng|han|move
s03,opening,control,0,2,1,1,0,1206,shangdang|hold|||;zheng|move|shangcai||
s03,opening,control,1,2,1,1,0,1294,shangdang|hold|||;zheng|move|shangcai||
s03,opening,control,2,2,1,1,0,956,shangdang|hold|||;zheng|move|shangcai||
s03,opening,control,3,2,1,1,0,1021,shangdang|hold|||;zheng|move|shangcai||
s03,opening,control,4,2,1,0,1,748,shangdang|support|zheng|han|hold;zheng|hold|||
s03,opening,control,5,2,1,1,0,1082,shangdang|hold|||;zheng|move|shangcai||
s03,opening,control,6,2,1,1,0,904,shangdang|hold|||;zheng|move|shangcai||
s03,opening,control,7,2,1,1,0,1042,shangdang|hold|||;zheng|move|shangcai||
s03,opening,tarot,0,2,1,0,1,1691,shangdang|support|zheng|han|hold;zheng|hold|||
s03,opening,tarot,1,2,1,1,0,1135,shangdang|hold|||;zheng|move|shangcai||
s03,opening,tarot,2,2,1,1,0,1652,shangdang|hold|||;zheng|move|shangcai||
s03,opening,tarot,3,2,1,0,1,1980,shangdang|support|zheng|han|hold;zheng|hold|||
s03,opening,tarot,4,2,1,1,0,1240,shangdang|hold|||;zheng|move|shangcai||
s03,opening,tarot,5,2,1,1,0,1201,shangdang|hold|||;zheng|move|shangcai||
s03,opening,tarot,6,2,1,1,0,1054,shangdang|hold|||;zheng|move|shangcai||
s03,opening,tarot,7,2,1,1,0,1345,shangdang|hold|||;zheng|move|shangcai||
s03,opening,yarrow,0,2,1,1,0,1680,shangdang|hold|||;zheng|move|shangcai||
s03,opening,yarrow,1,2,1,1,0,1156,shangdang|hold|||;zheng|move|shangcai||
s03,opening,yarrow,2,2,1,1,0,1229,shangdang|hold|||;zheng|move|shangcai||
s03,opening,yarrow,3,2,1,1,0,1420,shangdang|hold|||;zheng|move|shangcai||
s03,opening,yarrow,4,2,1,1,0,1160,shangdang|hold|||;zheng|move|shangcai||
s03,opening,yarrow,5,2,1,1,0,1399,shangdang|hold|||;zheng|move|shangcai||
s03,opening,yarrow,6,2,1,0,1,1714,shangdang|support|zheng|han|hold;zheng|hold|||
s03,opening,yarrow,7,2,1,1,0,1306,shangdang|hold|||;zheng|move|shangcai||
s04,opening,control,0,2,1,1,0,1156,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,control,1,2,1,1,0,803,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,control,2,2,1,1,0,873,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,control,3,2,1,1,0,812,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,control,4,2,1,1,0,859,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,control,5,2,1,1,0,973,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,control,6,2,1,1,0,963,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,control,7,2,1,1,0,957,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,0,2,1,1,0,1442,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,1,2,1,1,0,1367,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,2,2,1,1,0,1095,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,3,2,1,1,0,1533,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,4,2,1,1,0,1161,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,5,2,1,1,0,1336,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,6,2,1,1,0,1127,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,tarot,7,2,1,1,0,1545,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,0,2,1,1,0,812,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,1,2,1,1,0,1032,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,2,2,1,1,0,1047,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,3,2,1,1,0,1282,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,4,2,1,1,0,869,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,5,2,1,1,0,1547,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,6,2,1,1,0,1280,taiyuan|hold|||;zheng|move|luoyang||
s04,opening,yarrow,7,2,1,1,0,1329,taiyuan|hold|||;zheng|move|luoyang||
s05,opening,control,0,2,1,1,0,841,shangdang|hold|||;zheng|move|luoyang||
s05,opening,control,1,2,1,1,0,1153,shangdang|hold|||;zheng|move|luoyang||
s05,opening,control,2,2,1,1,0,994,shangdang|hold|||;zheng|move|luoyang||
s05,opening,control,3,2,1,1,0,727,shangdang|hold|||;zheng|move|luoyang||
s05,opening,control,4,2,1,1,0,981,shangdang|hold|||;zheng|move|luoyang||
s05,opening,control,5,2,1,1,0,918,shangdang|hold|||;zheng|move|luoyang||
s05,opening,control,6,2,1,1,0,804,shangdang|hold|||;zheng|move|luoyang||
s05,opening,control,7,2,1,1,0,773,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,0,2,1,1,0,1651,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,1,2,1,1,0,1570,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,2,2,1,1,0,1497,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,3,2,1,1,0,1521,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,4,2,1,1,0,992,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,5,2,1,1,0,839,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,6,2,1,1,0,1170,shangdang|hold|||;zheng|move|luoyang||
s05,opening,tarot,7,2,1,1,0,1189,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,0,2,1,1,0,1325,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,1,2,1,1,0,1270,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,2,2,1,1,0,1109,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,3,2,1,1,0,1312,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,4,2,1,1,0,1193,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,5,2,1,1,0,1217,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,6,2,1,1,0,1446,shangdang|hold|||;zheng|move|luoyang||
s05,opening,yarrow,7,2,1,1,0,1444,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,0,2,1,1,0,898,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,1,2,1,1,0,960,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,2,2,1,1,0,1048,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,3,2,1,1,0,886,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,4,2,1,1,0,1024,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,5,2,1,1,0,1118,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,6,2,1,1,0,1104,shangdang|hold|||;zheng|move|luoyang||
s06,opening,control,7,2,1,1,0,1321,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,0,2,1,1,0,1075,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,1,2,1,1,0,1215,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,2,2,1,1,0,1191,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,3,2,1,1,0,1275,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,4,2,1,1,0,1548,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,5,2,1,1,0,1267,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,6,2,1,1,0,1688,shangdang|hold|||;zheng|move|luoyang||
s06,opening,tarot,7,2,1,1,0,1042,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,0,2,1,1,0,1519,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,1,2,1,1,0,1253,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,2,2,1,1,0,1207,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,3,2,1,1,0,1086,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,4,2,1,1,0,1324,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,5,2,1,1,0,1322,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,6,2,1,1,0,1657,shangdang|hold|||;zheng|move|luoyang||
s06,opening,yarrow,7,2,1,1,0,1225,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,0,2,1,1,0,1175,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,1,2,1,1,0,1093,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,2,2,1,1,0,1098,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,3,2,1,1,0,1151,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,4,2,1,1,0,1159,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,5,2,1,1,0,1035,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,6,2,1,1,0,1051,shangdang|hold|||;zheng|move|luoyang||
s07,opening,control,7,2,1,1,0,1064,shangdang|hold|||;zheng|move|luoyang||
s07,opening,tarot,0,2,1,1,0,1332,shangdang|hold|||;zheng|move|luoyang||
s07,opening,tarot,1,2,1,1,0,1623,shangdang|hold|||;zheng|move|luoyang||
s07,opening,tarot,2,2,1,1,0,1013,shangdang|hold|||;zheng|move|luoyang||
s07,opening,tarot,3,2,1,1,0,1269,shangdang|hold|||;zheng|move|luoyang||
s07,opening,tarot,4,2,1,1,0,1252,shangdang|hold|||;zheng|move|luoyang||
s07,opening,tarot,5,2,1,1,0,1173,shangdang|hold|||;zheng|move|luoyang||
s07,opening,tarot,6,2,0,2,0,1536,shangdang|move|taihang||;zheng|move|luoyang||
s07,opening,tarot,7,2,0,2,0,1230,shangdang|move|zheng||;zheng|move|luoyang||
s07,opening,yarrow,0,2,1,1,0,1506,shangdang|hold|||;zheng|move|luoyang||
s07,opening,yarrow,1,2,1,1,0,1202,shangdang|hold|||;zheng|move|luoyang||
s07,opening,yarrow,2,2,1,1,0,1157,shangdang|hold|||;zheng|move|luoyang||
s07,opening,yarrow,3,2,1,1,0,1207,shangdang|hold|||;zheng|move|luoyang||
s07,opening,yarrow,4,2,1,1,0,1567,shangdang|hold|||;zheng|move|luoyang||
s07,opening,yarrow,5,2,1,0,1,1492,shangdang|support|zheng|han|hold;zheng|hold|||
s07,opening,yarrow,6,2,1,1,0,1466,shangdang|hold|||;zheng|move|luoyang||
s07,opening,yarrow,7,2,1,1,0,1558,shangdang|hold|||;zheng|move|luoyang||
s08,opening,control,0,2,0,1,1,1112,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,control,1,2,0,1,1,1417,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,control,2,2,0,1,1,1114,taiyuan|support|shangdang|han|move;zheng|move|shangdang||
s08,opening,control,3,2,0,1,1,1299,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,control,4,2,0,1,1,1313,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,control,5,2,0,1,1,1019,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,control,6,2,1,0,1,1017,taiyuan|support|shangdang|zhao|hold;zheng|hold|||
s08,opening,control,7,2,0,1,1,1294,taiyuan|support|shangdang|han|move;zheng|move|shangdang||
s08,opening,tarot,0,2,1,0,1,1344,taiyuan|support|shangdang|zhao|hold;zheng|hold|||
s08,opening,tarot,1,2,2,0,0,1281,taiyuan|hold|||;zheng|hold|||
s08,opening,tarot,2,2,1,0,1,1188,taiyuan|hold|||;zheng|support|luoyang|wei|hold
s08,opening,tarot,3,2,0,1,1,1839,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,tarot,4,2,0,1,1,1361,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,tarot,5,2,2,0,0,1716,taiyuan|hold|||;zheng|hold|||
s08,opening,tarot,6,2,0,1,1,1237,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,tarot,7,2,0,1,1,1699,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,yarrow,0,2,0,1,1,1554,taiyuan|support|shangdang|han|move;zheng|move|shangdang||
s08,opening,yarrow,1,2,0,1,1,1461,taiyuan|support|shangdang|han|move;zheng|move|shangdang||
s08,opening,yarrow,2,2,1,1,0,1227,taiyuan|move|shangdang||;zheng|hold|||
s08,opening,yarrow,3,2,0,1,1,1490,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,yarrow,4,2,1,0,1,1230,taiyuan|hold|||;zheng|support|shangdang|zhao|hold
s08,opening,yarrow,5,2,0,1,1,1501,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,yarrow,6,2,0,1,1,1381,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s08,opening,yarrow,7,2,0,1,1,1778,taiyuan|move|shangdang||;zheng|support|shangdang|han|move
s09,opening,control,0,2,1,1,0,961,shangdang|hold|||;zheng|move|luoyang||
s09,opening,control,1,2,1,1,0,1004,shangdang|hold|||;zheng|move|luoyang||
s09,opening,control,2,2,1,1,0,1025,shangdang|hold|||;zheng|move|luoyang||
s09,opening,control,3,2,1,1,0,592,shangdang|hold|||;zheng|move|luoyang||
s09,opening,control,4,2,1,1,0,1104,shangdang|hold|||;zheng|move|luoyang||
s09,opening,control,5,2,1,1,0,742,shangdang|hold|||;zheng|move|luoyang||
s09,opening,control,6,2,1,1,0,1195,shangdang|hold|||;zheng|move|luoyang||
s09,opening,control,7,2,1,1,0,1052,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,0,2,1,1,0,1518,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,1,2,1,1,0,1370,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,2,2,1,1,0,1193,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,3,2,1,1,0,1432,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,4,2,1,1,0,1770,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,5,2,1,1,0,1641,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,6,2,1,1,0,1174,shangdang|hold|||;zheng|move|luoyang||
s09,opening,tarot,7,2,1,1,0,1343,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,0,2,1,1,0,1450,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,1,2,1,1,0,1337,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,2,2,1,1,0,834,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,3,2,1,1,0,1294,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,4,2,1,1,0,1096,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,5,2,1,1,0,1287,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,6,2,1,1,0,1402,shangdang|hold|||;zheng|move|luoyang||
s09,opening,yarrow,7,2,1,1,0,1242,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,0,2,1,1,0,843,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,1,2,1,1,0,987,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,2,2,1,1,0,998,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,3,2,1,1,0,960,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,4,2,1,1,0,938,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,5,2,1,1,0,893,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,6,2,1,1,0,1188,shangdang|hold|||;zheng|move|luoyang||
s10,opening,control,7,2,1,1,0,795,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,0,2,1,1,0,1401,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,1,2,1,1,0,1246,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,2,2,1,1,0,1567,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,3,2,1,1,0,1208,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,4,2,1,1,0,1445,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,5,2,1,1,0,1507,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,6,2,1,1,0,1378,shangdang|hold|||;zheng|move|luoyang||
s10,opening,tarot,7,2,1,1,0,1573,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,0,2,1,1,0,1355,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,1,2,1,1,0,1325,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,2,2,1,1,0,1469,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,3,2,1,1,0,964,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,4,2,1,1,0,1038,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,5,2,1,1,0,996,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,6,2,1,1,0,1248,shangdang|hold|||;zheng|move|luoyang||
s10,opening,yarrow,7,2,1,1,0,1075,shangdang|hold|||;zheng|move|luoyang||
s11,opening,control,0,2,1,1,0,980,shangdang|hold|||;zheng|move|luoyang||
s11,opening,control,1,2,1,1,0,1031,shangdang|hold|||;zheng|move|luoyang||
s11,opening,control,2,2,1,1,0,1061,shangdang|hold|||;zheng|move|luoyang||
s11,opening,control,3,2,1,1,0,1032,shangdang|hold|||;zheng|move|luoyang||
s11,opening,control,4,2,1,1,0,846,shangdang|hold|||;zheng|move|shangcai||
s11,opening,control,5,2,1,1,0,1041,shangdang|hold|||;zheng|move|luoyang||
s11,opening,control,6,2,1,1,0,711,shangdang|hold|||;zheng|move|luoyang||
s11,opening,control,7,2,1,1,0,903,shangdang|hold|||;zheng|move|shangcai||
s11,opening,tarot,0,2,1,1,0,1204,shangdang|hold|||;zheng|move|luoyang||
s11,opening,tarot,1,2,1,1,0,1337,shangdang|hold|||;zheng|move|luoyang||
s11,opening,tarot,2,2,1,1,0,1522,shangdang|hold|||;zheng|move|luoyang||
s11,opening,tarot,3,2,1,1,0,1704,shangdang|hold|||;zheng|move|luoyang||
s11,opening,tarot,4,2,1,1,0,946,shangdang|hold|||;zheng|move|luoyang||
s11,opening,tarot,5,2,1,1,0,972,shangdang|hold|||;zheng|move|luoyang||
s11,opening,tarot,6,2,1,1,0,1524,shangdang|hold|||;zheng|move|luoyang||
s11,opening,tarot,7,2,1,1,0,1426,shangdang|hold|||;zheng|move|luoyang||
s11,opening,yarrow,0,2,1,1,0,1304,shangdang|hold|||;zheng|move|luoyang||
s11,opening,yarrow,1,2,1,1,0,1312,shangdang|hold|||;zheng|move|luoyang||
s11,opening,yarrow,2,2,1,1,0,1135,shangdang|hold|||;zheng|move|luoyang||
s11,opening,yarrow,3,2,1,1,0,1499,shangdang|hold|||;zheng|move|luoyang||
s11,opening,yarrow,4,2,1,1,0,1332,shangdang|hold|||;zheng|move|luoyang||
s11,opening,yarrow,5,2,1,1,0,1369,shangdang|hold|||;zheng|move|shangcai||
s11,opening,yarrow,6,2,1,1,0,1133,shangdang|hold|||;zheng|move|luoyang||
s11,opening,yarrow,7,2,1,1,0,1184,shangdang|hold|||;zheng|move|luoyang||
s12,opening,control,0,3,2,0,1,1091,shangcai|support|zheng|han|hold;shangdang|hold|||;zheng|hold|||
s12,opening,control,1,3,2,0,1,1049,shangcai|support|zheng|han|hold;shangdang|hold|||;zheng|hold|||
s12,opening,control,2,3,1,1,1,954,shangcai|move|wuguan_pass||;shangdang|support|zheng|han|hold;zheng|hold|||
s12,opening,control,3,3,2,0,1,1003,shangcai|support|zheng|han|hold;shangdang|hold|||;zheng|hold|||
s12,opening,control,4,3,2,0,1,1060,shangcai|support|zheng|han|hold;shangdang|hold|||;zheng|hold|||
s12,opening,control,5,3,2,0,1,1158,shangcai|support|zheng|han|hold;shangdang|hold|||;zheng|hold|||
s12,opening,control,6,3,1,1,1,1143,shangcai|support|zheng|han|hold;shangdang|move|zhongtiao||;zheng|hold|||
s12,opening,control,7,3,2,0,1,1336,shangcai|hold|||;shangdang|support|zheng|han|hold;zheng|hold|||
s12,opening,tarot,0,3,2,0,1,2090,shangcai|hold|||;shangdang|support|zheng|han|hold;zheng|hold|||
s12,opening,tarot,1,3,1,0,2,1832,shangcai|support|zheng|han|hold;shangdang|support|zheng|han|hold;zheng|hold|||
s12,opening,tarot,2,3,2,0,1,1180,shangcai|support|zheng|han|hold;shangdang|hold|||;zheng|hold|||
s12,opening,tarot,3,3,1,0,2,1367,shangcai|support|zheng|han|hold;shangdang|support|zheng|han|hold;zheng|hold|||
